iter	Passed	Remaining
0	185	185542
1	242	120971
2	306	101883
3	423	105554
4	462	92098
5	561	93020
6	662	93983
7	761	94441
8	825	90949
9	915	90615
10	1039	93486
11	1156	95229
12	1226	93100
13	1346	94839
14	1472	96715
15	1577	97026
16	1684	97423
17	1780	97149
18	1888	97486
19	2002	98115
20	2092	97547
21	2192	97452
22	2306	97971
23	2423	98537
24	2527	98557
25	2621	98204
26	2739	98730
27	2851	98979
28	2959	99086
29	3065	99116
30	3178	99352
31	3287	99442
32	3389	99314
33	3497	99368
34	3606	99438
35	3705	99220
36	3811	99189
37	3918	99201
38	4018	99010
39	4120	98899
40	4215	98608
41	4337	98934
42	4468	99453
43	4586	99661
44	4678	99296
45	4791	99372
46	4906	99490
47	5026	99695
48	5122	99414
49	5221	99215
50	5342	99415
51	5436	99115
52	5553	99229
53	5687	99643
54	5784	99382
55	5879	99114
56	5987	99062
57	6099	99067
58	6215	99139
59	6338	99297
60	6455	99376
61	6560	99251
62	6678	99334
63	6807	99565
64	6910	99398
65	7017	99309
66	7116	99096
67	7239	99217
68	7346	99126
69	7460	99114
70	7546	98747
71	7668	98833
72	7780	98797
73	7911	99003
74	8023	98952
75	8115	98672
76	8229	98649
77	8327	98440
78	8438	98382
79	8553	98366
80	8668	98354
81	8795	98471
82	8920	98558
83	9017	98337
84	9125	98238
85	9240	98207
86	9363	98260
87	9470	98145
88	9594	98213
89	9699	98075
90	9803	97927
91	9884	97554
92	10008	97608
93	10108	97430
94	10215	97317
95	10336	97336
96	10448	97269
97	10544	97053
98	10653	96958
99	10763	96874
100	10873	96782
101	10977	96646
102	11086	96550
103	11196	96463
104	11272	96080
105	11362	95829
106	11459	95642
107	11585	95686
108	11692	95578
109	11790	95393
110	11908	95374
111	12026	95351
112	12148	95357
113	12263	95314
114	12362	95138
115	12447	94858
116	12532	94585
117	12649	94552
118	12746	94363
119	12852	94251
120	12975	94256
121	13070	94063
122	13190	94050
123	13310	94034
124	13428	93998
125	13524	93813
126	13623	93646
127	13731	93542
128	13829	93372
129	13937	93273
130	14033	93089
131	14145	93016
132	14258	92951
133	14377	92919
134	14520	93041
135	14657	93121
136	14777	93084
137	14882	92959
138	14991	92861
139	15105	92791
140	15205	92633
141	15302	92459
142	15402	92308
143	15518	92251
144	15618	92094
145	15731	92020
146	15833	91875
147	15929	91699
148	16038	91601
149	16160	91578
150	16259	91421
151	16367	91312
152	16492	91299
153	16602	91206
154	16698	91032
155	16798	90884
156	16906	90778
157	17026	90738
158	17134	90627
159	17245	90541
160	17331	90320
161	17437	90202
162	17561	90175
163	17663	90040
164	17741	89782
165	17859	89727
166	17945	89510
167	18029	89288
168	18121	89107
169	18243	89070
170	18352	88972
171	18465	88890
172	18573	88789
173	18670	88629
174	18775	88514
175	18860	88301
176	18977	88238
177	19069	88062
178	19167	87915
179	19273	87802
180	19334	87483
181	19449	87416
182	19546	87264
183	19668	87226
184	19780	87139
185	19902	87101
186	20019	87035
187	20120	86905
188	20202	86689
189	20318	86620
190	20434	86551
191	20535	86420
192	20655	86366
193	20787	86366
194	20910	86324
195	21025	86246
196	21128	86123
197	21216	85936
198	21322	85824
199	21423	85692
200	21524	85563
201	21641	85493
202	21762	85443
203	21871	85339
204	21975	85221
205	22044	84966
206	22149	84853
207	22264	84774
208	22366	84649
209	22470	84531
210	22576	84420
211	22671	84270
212	22775	84153
213	22897	84101
214	23009	84010
215	23124	83934
216	23227	83813
217	23348	83753
218	23452	83637
219	23567	83557
220	23689	83503
221	23790	83372
222	23896	83263
223	24023	83223
224	24128	83107
225	24242	83024
226	24358	82949
227	24477	82879
228	24563	82699
229	24681	82628
230	24763	82438
231	24897	82418
232	24998	82291
233	25109	82194
234	25228	82125
235	25349	82065
236	25464	81980
237	25580	81901
238	25675	81753
239	25781	81640
240	25870	81477
241	25982	81383
242	26069	81211
243	26201	81183
244	26312	81085
245	26427	81001
246	26526	80867
247	26637	80772
248	26760	80712
249	26878	80635
250	26999	80567
251	27114	80483
252	27223	80379
253	27317	80231
254	27418	80103
255	27507	79943
256	27622	79857
257	27739	79779
258	27869	79734
259	27985	79650
260	28086	79524
261	28205	79449
262	28321	79365
263	28437	79280
264	28543	79166
265	28651	79062
266	28771	78986
267	28878	78877
268	28985	78767
269	29099	78676
270	29200	78551
271	29326	78490
272	29430	78374
273	29543	78279
274	29645	78155
275	29765	78080
276	29857	77930
277	29968	77830
278	30085	77748
279	30202	77663
280	30303	77537
281	30438	77499
282	30551	77405
283	30654	77283
284	30761	77172
285	30850	77019
286	30958	76910
287	31079	76834
288	31181	76712
289	31280	76583
290	31410	76529
291	31534	76460
292	31630	76322
293	31742	76225
294	31851	76120
295	31972	76041
296	32083	75942
297	32198	75851
298	32301	75731
299	32412	75628
300	32511	75499
301	32622	75398
