iter	Passed	Remaining
0	1718	135736
1	3264	127296
2	4868	124958
3	6484	123205
4	8088	121327
5	9637	118864
6	11352	118395
7	12902	116120
8	14385	113483
9	16000	112004
10	17582	110290
11	19164	108600
12	20614	106242
13	22197	104643
14	23690	102659
15	25206	100826
16	26755	99152
17	28248	97301
18	29742	95489
19	31280	93840
20	32862	92328
21	34310	90455
22	35749	88595
23	37110	86590
24	38814	85391
25	40396	83901
26	41957	82361
27	43551	80880
28	45099	79312
29	46660	77766
30	48197	76183
31	49790	74686
32	51439	73262
33	53087	71824
34	54647	70261
35	56373	68901
36	57989	67392
37	59615	65890
38	61230	64370
39	62812	62812
40	64428	61285
41	66021	59733
42	67504	58084
43	69152	56579
44	70833	55092
45	72903	53885
46	74763	52493
47	76377	50918
48	77860	49258
49	79431	47659
50	81025	46073
51	82607	44480
52	84333	42962
53	85927	41372
54	87531	39786
55	89157	38210
56	90663	36583
57	92344	35027
58	94059	33478
59	95719	31906
60	97235	30286
61	98850	28698
62	100421	27097
63	101926	25481
64	103619	23912
65	105345	22346
66	106883	20738
67	108410	19131
68	110545	17623
69	112150	16021
70	113676	14409
71	115236	12804
72	116841	11203
73	118523	9609
74	120071	8004
75	121809	6411
76	123478	4810
77	125060	3206
78	126676	1603
79	128169	0
