iter	Logloss
0	0.6584505557
1	0.6292730057
2	0.6039759197
3	0.5827676131
4	0.5653892321
5	0.5493371184
6	0.5351784854
7	0.5241433637
8	0.5137058428
9	0.5044353434
10	0.4962541637
11	0.4892292735
12	0.4831474481
13	0.4774928193
14	0.4731497063
15	0.4692120613
16	0.4653085483
17	0.4615315092
18	0.4590038737
19	0.4568402248
20	0.4538216448
21	0.4508154493
22	0.4498312546
23	0.4467020908
24	0.4438712132
25	0.4418684216
26	0.4399815016
27	0.4384623008
28	0.4362387551
29	0.4345635522
30	0.4333365077
31	0.431877718
32	0.4304742314
33	0.4295309732
34	0.4283625518
35	0.4270826201
36	0.4260246563
37	0.4248032353
38	0.4238435139
39	0.4226769048
40	0.4218063645
41	0.4212206553
42	0.4198291692
43	0.4191265133
44	0.418475589
45	0.4180716049
46	0.4170484655
47	0.4162175271
48	0.4157317001
49	0.4150954717
50	0.4142381505
51	0.4135335942
52	0.4127873925
53	0.412402816
54	0.4120499014
55	0.4115991228
56	0.4111875445
57	0.4108974603
58	0.4104882324
59	0.4100898298
60	0.4095995419
61	0.4092933362
62	0.4088991703
63	0.4086119241
64	0.4082414197
65	0.40794785
66	0.4076304745
67	0.4073797621
68	0.4071780668
69	0.4068818637
70	0.4064398648
71	0.4063000568
72	0.4060847779
73	0.4059811632
74	0.4057064492
75	0.4055815166
76	0.4052450974
77	0.4050730545
78	0.4048467698
79	0.4046398436
80	0.4044232389
81	0.404187722
82	0.4040228025
83	0.4038097394
84	0.4037037007
85	0.4034419816
86	0.4031589611
87	0.4029636942
88	0.402802021
89	0.4026466199
90	0.4024335821
91	0.4023296109
92	0.4021789014
93	0.4019993392
94	0.401872998
95	0.4016781364
96	0.4014935137
97	0.4013554847
98	0.4012166658
99	0.4010100754
100	0.4008021709
101	0.4006006454
102	0.4004708742
103	0.4003836597
104	0.4002599669
105	0.4001551138
106	0.4000332336
107	0.3998140688
108	0.3997433178
109	0.3995682209
110	0.3994996416
111	0.3994546651
112	0.3992577272
113	0.3991507459
114	0.3990312952
115	0.3987988414
116	0.3986936994
117	0.398566954
118	0.3984304109
119	0.3983400484
120	0.3982304125
121	0.3981094114
122	0.398034795
123	0.3979207197
124	0.3978012907
125	0.3976413762
126	0.3975268761
127	0.3973218635
128	0.3972730907
129	0.3970784396
130	0.396934234
131	0.3967953198
132	0.3967092071
133	0.3966435334
134	0.3965186113
135	0.3964159539
136	0.3963509278
137	0.3962964149
138	0.3961458647
139	0.3960908579
140	0.3960354236
141	0.3959576606
142	0.3959070349
143	0.3957059019
144	0.3956677945
145	0.3955260387
146	0.3953916267
147	0.3953575386
148	0.3952945282
149	0.395188424
150	0.3951068526
151	0.3950572063
152	0.3949904484
153	0.3949445396
154	0.3948211718
155	0.3947882962
156	0.3946882472
157	0.3945736342
158	0.394476515
159	0.3944206742
160	0.3943075114
161	0.3942438045
162	0.3941130417
163	0.3939662342
164	0.393935875
165	0.3938586675
166	0.3938191984
167	0.3937576769
168	0.3937091335
169	0.3936080816
170	0.3934847079
171	0.3934194379
172	0.3933266684
173	0.3932424044
174	0.3932127432
175	0.3931578458
176	0.3930677109
177	0.3929937666
178	0.3929497786
179	0.39291643
180	0.3928832783
181	0.3928168593
182	0.3926773116
183	0.3925546097
184	0.3924866554
185	0.3924209804
186	0.3924037849
187	0.3923068034
188	0.3922157251
189	0.3921023816
190	0.392030262
191	0.3919861693
192	0.3919029507
193	0.3918520836
194	0.3917629482
195	0.3916576424
196	0.3915913939
197	0.3915481008
198	0.3914772527
199	0.3914376596
200	0.3912935024
201	0.3911906978
202	0.3911272749
203	0.3910177013
204	0.3909649813
205	0.3909076901
206	0.3907785506
207	0.3907413165
208	0.3906841355
209	0.3905749918
210	0.3904755105
211	0.3904297737
212	0.3903812526
213	0.3903497751
214	0.3903005683
215	0.3902529929
216	0.3901940956
217	0.3901723085
218	0.3901496444
219	0.39002684
220	0.3900020525
221	0.3898880002
222	0.3898030982
223	0.389704709
224	0.3896605288
225	0.3895977244
226	0.3895697714
227	0.3895272141
228	0.3894852306
229	0.3894579445
230	0.3894150487
231	0.3893604367
232	0.3892888023
233	0.3892326322
234	0.3891340113
235	0.389047956
236	0.3889814308
237	0.3889349883
238	0.3889007377
239	0.3888436189
240	0.3887770925
241	0.3887171994
242	0.3886586013
243	0.388596639
244	0.3885394832
245	0.3885127457
246	0.3884428821
247	0.3883739171
248	0.388309186
249	0.3882117757
250	0.388143169
251	0.3881164894
252	0.3880462062
253	0.388001185
254	0.3879629955
255	0.3879443594
256	0.3878900634
257	0.3878422429
258	0.3877929307
259	0.3877628471
260	0.3877146572
261	0.3876203737
262	0.3875623882
263	0.3874958068
264	0.3874588811
265	0.3874028195
266	0.3873676085
267	0.3873323979
268	0.3873245606
269	0.387303444
270	0.387277462
271	0.38721426
272	0.3871331286
273	0.3870694621
274	0.3870171188
275	0.3869807467
276	0.3869554347
277	0.386847754
278	0.3868320381
279	0.3867521925
280	0.3867226566
281	0.3867007518
282	0.3866703808
283	0.3866436113
284	0.386618943
285	0.3865692466
286	0.3865264493
287	0.3865058472
288	0.3864814384
289	0.3864101014
290	0.3863841806
291	0.3863618635
292	0.3863368571
293	0.386322132
294	0.3861961418
295	0.3861561454
296	0.386102002
297	0.3860749291
298	0.3860280961
299	0.3859943618
300	0.3859647431
301	0.3859449762
302	0.3858980813
303	0.385820963
304	0.3857811463
305	0.3857430322
306	0.385662117
307	0.3856489855
308	0.3855372548
309	0.3854929672
310	0.3854767768
311	0.3854293416
312	0.3853866535
313	0.3853342151
314	0.3853074837
315	0.3852699594
316	0.3852311757
317	0.385212353
318	0.3851664667
319	0.3851252405
320	0.3850856904
321	0.3850441663
322	0.3849920446
323	0.3849612168
324	0.3848943947
325	0.384846065
326	0.3847805443
327	0.3847396648
328	0.3847189528
329	0.3846914035
330	0.3846305125
331	0.3846182237
332	0.3845974019
333	0.3845493589
334	0.3845340391
335	0.3845070528
336	0.3844734418
337	0.3844279888
338	0.384409042
339	0.3843521773
340	0.3843412742
341	0.3842862754
342	0.384251239
343	0.3842119221
344	0.3841489115
345	0.3841086755
346	0.3840823667
347	0.3839941205
348	0.383937111
349	0.3839220163
350	0.3839050236
351	0.3838769226
352	0.3838425498
353	0.3837997987
354	0.3837595809
355	0.3837032992
356	0.3836138011
357	0.3835772859
358	0.3835632229
359	0.3835485292
360	0.3835162223
361	0.3834671361
362	0.3833896517
363	0.3833673447
364	0.3833130127
365	0.3832722051
366	0.3832491122
367	0.3831776029
368	0.3831610347
369	0.3831439265
370	0.3831054784
371	0.3830720451
372	0.3830558095
373	0.3830262329
374	0.3829978425
375	0.3829799528
376	0.3829498227
377	0.3829160772
378	0.3828994465
379	0.3828648314
380	0.3827882245
381	0.3827427756
382	0.3827270033
383	0.3826875576
384	0.3826521812
385	0.3826243951
386	0.3826176331
387	0.3825682611
388	0.3825419308
389	0.3825304922
390	0.3824570568
391	0.3824138597
392	0.3823851527
393	0.3823416077
394	0.3823207402
395	0.3822902339
396	0.3822140356
397	0.382194392
398	0.3821823354
399	0.3821620031
400	0.3821277388
401	0.3821045698
402	0.3820296428
403	0.3819802339
404	0.3819451553
405	0.3819075296
406	0.3818937714
407	0.3818615496
408	0.3818344199
409	0.38180352
410	0.3817720047
411	0.3817142827
412	0.3816851976
413	0.3816728815
414	0.381624818
415	0.3816065467
416	0.3815825232
417	0.3815233846
418	0.3814860039
419	0.3814431389
420	0.3814151424
421	0.3813797433
422	0.3813595093
423	0.3813397473
424	0.381320539
425	0.3813049016
426	0.3812748841
427	0.3812379272
428	0.3811897823
429	0.3811571311
430	0.3811290324
431	0.3810529175
432	0.3810105228
433	0.380986711
434	0.3809717358
435	0.3809464311
436	0.3808683396
437	0.3808360792
438	0.3808073416
439	0.3807747406
440	0.380757381
441	0.3806857013
442	0.3806589939
443	0.3806319359
