iter	Passed	Remaining
0	209	208863
1	424	211920
2	581	193223
3	767	191176
4	1001	199213
5	1196	198299
6	1395	198026
7	1566	194277
8	1746	192281
9	1992	197233
10	2124	190977
11	2307	189948
12	2495	189459
13	2651	186759
14	2830	185841
15	2994	184167
16	3219	186143
17	3338	182109
18	3519	181712
19	3608	176809
20	3821	178171
21	4035	179379
22	4069	172858
23	4278	174012
24	4539	177035
25	4773	178823
26	5014	180724
27	5253	182385
28	5602	187599
29	5870	189801
30	6128	191550
31	6449	195104
32	6672	195511
33	6986	198490
34	7230	199362
35	7570	202720
36	7900	205624
37	8209	207833
38	8537	210369
39	8925	214214
40	9158	214224
41	9491	216489
42	9873	219750
43	10034	218024
44	10333	219303
45	10611	220062
46	10958	222198
47	11267	223479
48	11559	224349
49	11845	225072
50	12241	227794
51	12577	229305
52	12856	229727
53	13223	231658
54	13518	232274
55	13873	233867
56	14169	234412
57	14483	235233
58	14728	234906
59	15053	235830
60	15338	236117
61	15628	236440
62	16041	238590
63	16330	238835
64	16563	238256
65	16906	239253
66	17157	238931
67	17393	238393
68	17651	238170
69	17925	238151
70	18360	240240
71	18663	240549
72	18961	240780
73	19297	241478
74	19544	241054
75	19890	241821
76	20196	242098
77	20541	242807
78	20873	243346
79	21113	242803
80	21320	241896
81	21634	242201
82	21893	241886
83	22198	242067
84	22499	242200
85	22797	242294
86	23164	243095
87	23465	243183
88	23745	243056
89	23910	241759
90	24117	240913
91	24362	240447
92	24601	239931
93	24895	239947
94	25088	238998
95	25362	238827
96	25501	237400
97	25780	237287
98	26064	237211
99	26438	237945
100	26722	237854
101	26935	237141
102	27166	236589
103	27437	236383
104	27685	235989
105	27997	236132
106	28328	236425
107	28589	236128
108	28945	236612
109	29235	236541
110	29466	235998
111	29664	235194
112	29904	234737
113	30240	235023
114	30519	234868
115	30736	234232
116	31003	233987
117	31209	233274
118	31422	232635
119	31636	231997
120	31982	232336
121	32347	232793
122	32659	232862
123	32985	233023
124	33194	232361
125	33424	231846
126	33687	231570
127	33998	231614
128	34262	231340
129	34571	231359
130	34943	231801
131	35281	232002
132	35509	231482
133	35726	230889
134	36032	230874
135	36433	231461
136	36771	231635
137	37089	231677
138	37481	232169
139	37765	231985
140	38059	231867
141	38341	231668
142	38578	231198
143	38831	230833
144	39147	230836
145	39466	230851
146	39795	230923
147	40161	231198
148	40471	231147
149	40742	230875
150	41082	230987
151	41342	230647
152	41603	230316
153	41888	230116
154	42182	229964
155	42480	229830
156	42755	229571
157	43047	229402
158	43551	230354
159	43868	230307
160	44172	230190
161	44499	230189
162	44799	230046
163	45141	230110
164	45408	229793
165	45747	229841
166	45967	229284
167	46252	229059
168	46623	229255
169	46987	229407
170	47350	229553
171	47739	229816
172	47963	229281
173	48313	229351
174	48564	228946
175	48796	228457
176	49070	228166
177	49328	227797
178	49528	227165
179	49804	226887
180	50112	226751
181	50313	226136
182	50650	226127
183	50986	226114
184	51344	226193
185	51697	226247
186	51981	225993
187	52308	225927
188	52592	225675
189	52912	225575
190	53212	225386
191	53526	225259
192	53834	225101
193	54145	224954
194	54507	225019
195	54727	224493
196	55146	224784
197	55387	224346
198	55708	224232
199	56003	224014
200	56282	223731
201	56591	223565
202	56900	223395
203	57220	223272
204	57522	223076
205	57898	223162
206	58128	222686
207	58470	222639
208	58772	222435
209	59218	222774
210	59543	222654
211	59810	222313
212	60130	222170
213	60373	221745
214	60731	221742
215	61069	221660
216	61322	221268
217	61651	221152
218	61914	220801
219	62255	220724
220	62532	220418
221	62854	220274
222	63187	220163
223	63522	220058
224	63759	219617
225	64059	219390
226	64281	218895
227	64585	218684
228	64821	218241
229	65108	217972
230	65262	217257
231	65540	216960
232	65911	216971
233	66308	217061
234	66668	217028
235	66965	216786
236	67281	216605
237	67705	216769
238	68034	216630
239	68298	216278
240	68697	216355
241	68916	215863
242	69248	215724
243	69478	215268
244	69876	215334
245	70170	215075
246	70500	214927
247	70942	215116
248	71384	215301
249	71828	215486
250	72113	215190
251	72386	214860
252	72681	214598
253	73085	214654
254	73481	214681
255	73854	214639
256	74131	214317
257	74453	214126
258	74772	213923
259	75043	213585
260	75384	213445
261	75725	213304
262	76044	213098
263	76395	212980
264	76749	212870
265	77045	212600
266	77435	212585
267	77797	212490
268	78223	212569
269	78391	211946
270	78544	211286
271	78794	210891
272	79117	210689
273	79395	210369
274	79656	210004
275	79974	209787
276	80294	209576
277	80528	209142
278	80817	208850
279	81118	208591
